TypeOfOperation,Duration of operation,QuantityofOxygenConsumed
3,8.55,128.25
3,9.3,139.5
4,3.54,53.1
4,5.45,81.75
4,6.32,94.8
2,2.28,34.2
3,1.3,19.5
4,4.4,66
3,9.3,139.5
2,10.08,151.2
4,2.28,34.2
3,4.4,66
3,8.55,128.25
3,9.3,139.5
3,3.54,53.1
2,3.54,53.1
4,5.45,81.75
4,6.32,94.8
3,2.28,34.2
3,1.3,19.5
3,4.4,66
3,9.3,139.5
4,10.08,151.2
3,2.28,34.2
3,4.4,66
5,8.55,128.25
3,9.3,139.5
4,3.54,53.1
2,5.45,81.75
3,6.32,94.8
4,2.28,34.2
4,1.3,19.5
3,4.4,66
2,9.3,139.5
3,10.08,151.2
4,2.28,34.2
3,4.4,66
3,8.55,128.25
3,9.3,139.5
3,3.54,53.1
3,5.45,81.75
3,6.32,94.8
2,2.28,34.2
1,1.3,19.5
4,4.4,66
3,9.3,139.5
4,10.08,151.2
3,2.28,34.2
3,4.4,66
4,8.55,128.25
4,9.3,139.5
4,3.54,53.1
2,3.54,53.1
3,5.45,81.75
4,6.32,94.8
3,2.28,34.2
2,1.3,19.5
4,4.4,66
3,9.3,139.5
1,10.08,151.2
2,2.28,34.2
3,4.4,66
4,8.55,128.25
5,9.3,139.5
4,3.54,53.1
2,5.45,81.75
4,6.32,94.8
1,2.28,34.2
3,1.3,19.5
2,4.4,66
3,9.3,139.5
4,10.08,151.2
5,2.28,34.2
4,4.4,66
2,8.55,128.25
4,9.3,139.5
1,3.54,53.1
3,5.45,81.75
3,6.32,94.8
3,2.28,34.2
3,1.3,19.5
3,4.4,66
3,9.3,139.5
3,10.08,151.2
3,2.28,34.2
2,4.4,66
4,8.55,128.25
4,9.3,139.5
3,3.54,53.1
3,3.54,53.1
3,5.45,81.75
3,6.32,94.8
4,2.28,34.2
3,1.3,19.5
3,4.4,66
5,9.3,139.5
3,10.08,151.2
4,2.28,34.2
2,4.4,66
3,8.55,128.25
4,9.3,139.5
4,3.54,53.1
3,5.45,81.75
2,6.32,94.8
3,2.28,34.2
4,1.3,19.5
3,4.4,66
3,9.3,139.5
3,10.08,151.2
3,2.28,34.2
3,4.4,66
3,8.55,128.25
2,9.3,139.5
1,3.54,53.1
4,5.45,81.75
3,6.32,94.8
4,2.28,34.2
3,1.3,19.5
3,4.4,66
4,9.3,139.5
4,10.08,151.2
4,2.28,34.2
2,4.4,66
3,8.55,128.25
4,9.3,139.5
3,3.54,53.1
2,3.54,53.1
4,5.45,81.75
3,6.32,94.8
3,2.28,34.2
3,1.3,19.5
3,4.4,66
2,9.3,139.5
4,10.08,151.2
4,2.28,34.2
3,4.4,66
3,8.55,128.25
3,9.3,139.5
3,3.54,53.1
4,5.45,81.75
3,6.32,94.8
3,2.28,34.2
5,1.3,19.5
3,4.4,66
4,9.3,139.5
2,10.08,151.2
3,2.28,34.2
4,4.4,66
4,8.55,128.25
3,9.3,139.5
2,3.54,53.1
3,5.45,81.75
4,6.32,94.8
3,2.28,34.2
3,1.3,19.5
3,4.4,66
3,9.3,139.5
3,10.08,151.2
3,2.28,34.2
2,4.4,66
1,8.55,128.25
4,9.3,139.5
3,3.54,53.1
4,3.54,53.1
3,5.45,81.75
3,6.32,94.8
4,2.28,34.2
4,1.3,19.5
4,4.4,66
2,9.3,139.5
3,10.08,151.2
4,2.28,34.2
3,4.4,66
2,8.55,128.25
4,9.3,139.5
3,3.54,53.1
1,5.45,81.75
2,6.32,94.8
3,2.28,34.2
4,1.3,19.5
5,4.4,66
4,9.3,139.5
2,10.08,151.2
4,2.28,34.2
1,4.4,66
3,8.55,128.25
2,9.3,139.5
3,3.54,53.1
4,5.45,81.75
5,6.32,94.8
4,2.28,34.2
2,1.3,19.5
4,4.4,66
1,9.3,139.5
3,10.08,151.2
3,2.28,34.2
3,4.4,66
3,8.55,128.25
3,9.3,139.5
3,3.54,53.1
3,3.54,53.1
3,5.45,81.75
2,6.32,94.8
4,2.28,34.2
4,1.3,19.5
3,4.4,66
3,9.3,139.5
3,10.08,151.2
3,2.28,34.2
4,4.4,66
3,8.55,128.25
3,9.3,139.5
5,3.54,53.1
3,5.45,81.75
4,6.32,94.8
2,2.28,34.2
3,1.3,19.5
4,4.4,66
4,9.3,139.5
3,10.08,151.2
2,2.28,34.2
3,4.4,66
4,8.55,128.25
3,9.3,139.5
3,3.54,53.1
3,5.45,81.75
3,6.32,94.8
3,2.28,34.2
3,1.3,19.5
2,4.4,66
1,9.3,139.5
4,10.08,151.2
3,2.28,34.2
4,4.4,66
3,8.55,128.25
3,9.3,139.5
4,3.54,53.1
4,3.54,53.1
4,5.45,81.75
2,6.32,94.8
3,2.28,34.2
4,1.3,19.5
3,4.4,66
2,9.3,139.5
4,10.08,151.2
3,2.28,34.2
3,4.4,66
3,8.55,128.25
3,9.3,139.5
2,3.54,53.1
4,5.45,81.75
4,6.32,94.8
3,2.28,34.2
3,1.3,19.5
3,4.4,66
3,9.3,139.5
4,10.08,151.2
3,2.28,34.2
3,4.4,66
5,8.55,128.25
3,9.3,139.5
4,3.54,53.1
2,5.45,81.75
3,6.32,94.8
4,2.28,34.2
4,1.3,19.5
3,4.4,66
2,9.3,139.5
3,10.08,151.2
4,2.28,34.2
3,4.4,66
3,8.55,128.25
3,9.3,139.5
3,3.54,53.1
3,3.54,53.1
3,5.45,81.75
2,6.32,94.8
1,2.28,34.2
4,1.3,19.5
3,4.4,66
4,9.3,139.5
3,10.08,151.2
3,2.28,34.2
4,4.4,66
4,8.55,128.25
4,9.3,139.5
2,3.54,53.1
3,5.45,81.75
4,6.32,94.8
3,2.28,34.2
2,1.3,19.5
4,4.4,66
3,9.3,139.5
1,10.08,151.2
2,2.28,34.2
1,4.4,66
2,8.55,128.25
3,9.3,139.5
4,3.54,53.1
5,5.45,81.75
4,6.32,94.8
2,2.28,34.2
4,1.3,19.5
1,4.4,66
3,9.3,139.5
2,10.08,151.2
3,2.28,34.2
4,4.4,66
5,8.55,128.25
4,9.3,139.5
2,3.54,53.1
4,3.54,53.1
1,5.45,81.75
3,6.32,94.8
3,2.28,34.2
3,1.3,19.5
3,4.4,66
3,9.3,139.5
3,10.08,151.2
3,2.28,34.2
3,4.4,66
2,8.55,128.25
4,9.3,139.5
4,3.54,53.1
3,5.45,81.75
3,6.32,94.8
3,2.28,34.2
3,1.3,19.5
4,4.4,66
3,9.3,139.5
3,10.08,151.2
5,2.28,34.2
3,4.4,66
4,8.55,128.25
2,9.3,139.5
3,3.54,53.1
4,5.45,81.75
4,6.32,94.8
3,2.28,34.2
2,1.3,19.5
3,4.4,66
4,9.3,139.5
3,10.08,151.2
3,2.28,34.2
3,4.4,66
3,8.55,128.25
3,9.3,139.5
3,3.54,53.1
2,3.54,53.1
1,5.45,81.75
4,6.32,94.8
3,2.28,34.2
4,1.3,19.5
3,4.4,66
3,9.3,139.5
4,10.08,151.2
4,2.28,34.2
4,4.4,66
2,8.55,128.25
3,9.3,139.5
4,3.54,53.1
3,5.45,81.75
2,6.32,94.8
4,2.28,34.2
3,1.3,19.5
3,4.4,66
3,9.3,139.5
3,10.08,151.2
2,2.28,34.2
4,4.4,66
4,8.55,128.25
3,9.3,139.5
3,3.54,53.1
3,5.45,81.75
3,6.32,94.8
4,2.28,34.2
3,1.3,19.5
3,4.4,66
5,9.3,139.5
3,10.08,151.2
4,2.28,34.2
2,4.4,66
3,8.55,128.25
4,9.3,139.5
4,3.54,53.1
3,3.54,53.1
2,5.45,81.75
3,6.32,94.8
4,2.28,34.2
3,1.3,19.5
3,4.4,66
3,9.3,139.5
3,10.08,151.2
3,2.28,34.2
3,4.4,66
2,8.55,128.25
1,9.3,139.5
4,3.54,53.1
3,5.45,81.75
4,6.32,94.8
3,2.28,34.2
3,1.3,19.5
4,4.4,66
4,9.3,139.5
4,10.08,151.2
2,2.28,34.2
3,4.4,66
4,8.55,128.25
3,9.3,139.5
2,3.54,53.1
4,5.45,81.75
3,6.32,94.8
1,2.28,34.2
2,1.3,19.5
3,4.4,66
4,9.3,139.5
5,10.08,151.2
4,2.28,34.2
2,4.4,66
4,8.55,128.25
1,9.3,139.5
3,3.54,53.1
2,3.54,53.1
3,5.45,81.75
4,6.32,94.8
5,2.28,34.2
4,1.3,19.5
2,4.4,66
4,9.3,139.5
1,10.08,151.2
3,2.28,34.2
3,4.4,66
3,8.55,128.25
3,9.3,139.5
3,3.54,53.1
3,5.45,81.75
3,6.32,94.8
3,2.28,34.2
2,1.3,19.5
4,4.4,66
4,9.3,139.5
3,10.08,151.2
3,2.28,34.2
3,4.4,66
3,8.55,128.25
4,9.3,139.5
3,3.54,53.1
3,5.45,81.75
5,6.32,94.8
3,2.28,34.2
4,1.3,19.5
2,4.4,66
3,9.3,139.5
4,10.08,151.2
4,2.28,34.2
3,4.4,66
2,8.55,128.25
3,9.3,139.5
4,3.54,53.1
3,3.54,53.1
3,5.45,81.75
3,6.32,94.8
3,2.28,34.2
3,1.3,19.5
3,4.4,66
2,3.006,45.09
1,5.486,82.29
4,6.256,93.84
3,2.417,36.255
4,1.578,23.67
3,4.008,60.12
3,9.065,135.975
4,10.345,155.175
4,2.417,36.255
4,4.008,60.12
2,8.341,125.115
3,9.065,135.975
4,3.006,45.09
3,3.006,45.09
2,5.486,82.29
4,6.256,93.84
3,2.417,36.255
3,1.578,23.67
3,4.008,60.12
3,9.065,135.975
2,10.345,155.175
4,2.417,36.255
4,4.008,60.12
3,8.341,125.115
3,9.065,135.975
3,3.006,45.09
3,5.486,82.29
4,6.256,93.84
3,2.417,36.255
3,1.578,23.67
5,4.008,60.12
3,9.065,135.975
4,10.345,155.175
2,2.417,36.255
3,4.008,60.12
4,8.341,125.115
4,9.065,135.975
3,3.006,45.09
2,5.486,82.29
3,6.256,93.84
4,2.417,36.255
3,1.578,23.67
3,4.008,60.12
3,9.065,135.975
3,10.345,155.175
3,2.417,36.255
3,4.008,60.12
2,8.341,125.115
1,9.065,135.975
4,3.006,45.09
3,3.006,45.09
4,5.486,82.29
3,6.256,93.84
3,2.417,36.255
4,1.578,23.67
4,4.008,60.12
4,9.065,135.975
2,10.345,155.175
3,2.417,36.255
4,4.008,60.12
3,8.341,125.115
2,9.065,135.975
4,3.006,45.09
3,5.486,82.29
1,6.256,93.84
2,2.417,36.255
3,1.578,23.67
4,4.008,60.12
5,9.065,135.975
4,10.345,155.175
2,2.417,36.255
4,4.008,60.12
1,8.341,125.115
3,9.065,135.975
2,3.006,45.09
3,5.486,82.29
4,6.256,93.84
5,2.417,36.255
4,1.578,23.67
2,4.008,60.12
4,9.065,135.975
1,10.345,155.175
3,2.417,36.255
3,4.008,60.12
3,8.341,125.115
3,9.065,135.975
3,3.006,45.09
3,3.006,45.09
3,5.486,82.29
3,6.256,93.84
2,2.417,36.255
4,1.578,23.67
4,4.008,60.12
3,9.065,135.975
3,10.345,155.175
3,2.417,36.255
3,4.008,60.12
4,8.341,125.115
3,9.065,135.975
3,3.006,45.09
5,5.486,82.29
3,6.256,93.84
4,2.417,36.255
2,1.578,23.67
3,4.008,60.12
4,9.065,135.975
4,10.345,155.175
3,2.417,36.255
2,4.008,60.12
3,8.341,125.115
4,9.065,135.975
3,3.006,45.09
3,5.486,82.29
3,6.256,93.84
3,2.417,36.255
3,1.578,23.67
3,4.008,60.12
2,9.065,135.975
1,10.345,155.175
4,2.417,36.255
3,4.008,60.12
4,8.341,125.115
3,9.065,135.975
3,3.006,45.09
4,3.006,45.09
4,5.486,82.29
4,6.256,93.84
2,2.417,36.255
3,1.578,23.67
4,4.008,60.12
3,9.065,135.975
2,10.345,155.175
4,2.417,36.255
3,4.008,60.12
3,8.341,125.115
3,9.065,135.975
3,3.006,45.09
2,5.486,82.29
4,6.256,93.84
4,2.417,36.255
3,1.578,23.67
3,4.008,60.12
3,9.065,135.975
3,10.345,155.175
4,2.417,36.255
3,4.008,60.12
3,8.341,125.115
5,9.065,135.975
3,3.006,45.09
4,5.486,82.29
2,6.256,93.84
3,2.417,36.255
4,1.578,23.67
4,4.008,60.12
3,9.065,135.975
2,10.345,155.175
3,2.417,36.255
4,4.008,60.12
3,8.341,125.115
3,9.065,135.975
3,3.006,45.09
3,3.006,45.09
3,5.486,82.29
3,6.256,93.84
2,2.417,36.255
1,1.578,23.67
4,4.008,60.12
3,9.065,135.975
4,10.345,155.175
3,2.417,36.255
3,4.008,60.12
4,8.341,125.115
4,9.065,135.975
4,3.006,45.09
2,5.486,82.29
3,6.256,93.84
4,2.417,36.255
3,1.578,23.67
2,4.008,60.12
4,9.065,135.975
3,10.345,155.175
1,2.417,36.255
2,4.008,60.12
1,8.341,125.115
2,9.065,135.975
3,3.006,45.09
4,5.486,82.29
5,6.256,93.84
4,2.417,36.255
2,1.578,23.67
4,4.008,60.12
1,9.065,135.975
3,10.345,155.175
2,2.417,36.255
3,4.008,60.12
4,8.341,125.115
5,9.065,135.975
4,3.006,45.09
2,3.006,45.09
4,5.486,82.29
1,6.256,93.84
3,2.417,36.255
3,1.578,23.67
3,4.008,60.12
3,9.065,135.975
3,10.345,155.175
3,2.417,36.255
3,4.008,60.12
3,8.341,125.115
2,9.065,135.975
4,3.006,45.09
4,5.486,82.29
3,6.256,93.84
3,2.417,36.255
3,1.578,23.67
3,4.008,60.12
4,9.065,135.975
3,10.345,155.175
3,2.417,36.255
5,4.008,60.12
3,8.341,125.115
4,9.065,135.975
2,3.006,45.09
3,5.486,82.29
4,6.256,93.84
4,2.417,36.255
3,1.578,23.67
2,4.008,60.12
3,9.065,135.975
4,10.345,155.175
3,2.417,36.255
3,4.008,60.12
3,8.341,125.115
3,9.065,135.975
3,3.006,45.09
3,3.006,45.09
2,5.486,82.29
1,6.256,93.84
4,2.417,36.255
3,1.578,23.67
4,4.008,60.12
3,9.065,135.975
3,10.345,155.175
4,2.417,36.255
4,4.008,60.12
4,8.341,125.115
2,9.065,135.975
3,3.006,45.09
4,5.486,82.29
3,6.256,93.84
2,2.417,36.255
4,1.578,23.67
3,4.008,60.12
3,9.065,135.975
3,10.345,155.175
3,2.417,36.255
2,4.008,60.12
4,8.341,125.115
4,9.065,135.975
3,3.006,45.09
3,5.486,82.29
3,6.256,93.84
3,2.417,36.255
4,1.578,23.67
3,4.008,60.12
3,9.065,135.975
5,10.345,155.175
3,2.417,36.255
4,4.008,60.12
2,8.341,125.115
3,9.065,135.975
4,3.006,45.09
4,3.006,45.09
3,5.486,82.29
2,6.256,93.84
3,2.417,36.255
4,1.578,23.67
3,4.008,60.12
3,9.065,135.975
3,10.345,155.175
3,2.417,36.255
3,4.008,60.12
3,8.341,125.115
2,9.065,135.975
1,3.006,45.09
4,5.486,82.29
3,6.256,93.84
4,2.417,36.255
3,1.578,23.67
3,4.008,60.12
4,9.065,135.975
4,10.345,155.175
4,2.417,36.255
2,4.008,60.12
3,8.341,125.115
4,9.065,135.975
3,3.006,45.09
2,5.486,82.29
4,6.256,93.84
3,2.417,36.255
1,1.578,23.67
2,4.008,60.12
3,9.065,135.975
4,10.345,155.175
5,2.417,36.255
4,4.008,60.12
2,8.341,125.115
4,9.065,135.975
1,3.006,45.09
3,3.006,45.09
2,5.486,82.29
3,6.256,93.84
4,2.417,36.255
5,1.578,23.67
4,4.008,60.12
2,9.065,135.975
4,10.345,155.175
1,2.417,36.255
3,4.008,60.12
3,8.341,125.115
3,9.065,135.975
3,3.006,45.09
3,5.486,82.29
3,6.256,93.84
3,2.417,36.255
3,1.578,23.67
2,4.008,23.67
4,9.065,60.12
4,10.345,135.975
3,2.417,155.175
3,4.008,36.255
3,8.341,60.12
3,9.065,125.115
4,3.006,135.975
3,5.486,45.09
3,6.256,82.29
5,2.417,93.84
3,1.578,36.255
4,4.008,23.67
2,9.065,60.12
3,10.345,135.975
4,2.417,155.175
4,4.008,36.255
3,8.341,60.12
2,9.065,125.115
3,3.006,135.975
4,3.006,45.09
3,5.486,45.09
3,6.256,82.29
3,2.417,93.84
3,1.578,36.255
3,4.008,23.67
3,9.065,60.12
2,10.345,135.975
1,2.417,155.175
4,4.008,36.255
3,8.341,60.12
4,9.065,125.115
3,3.006,135.975
3,5.486,45.09
4,6.256,82.29
4,2.417,93.84
4,1.578,36.255
2,4.008,23.67
3,9.065,60.12
4,10.345,135.975
3,2.417,155.175
2,4.008,36.255
4,8.341,60.12
3,9.065,125.115
3,3.006,135.975
3,5.486,45.09
3,6.256,82.29
2,2.417,93.84
4,1.578,36.255
4,4.008,23.67
3,9.065,60.12
3,10.345,135.975
3,2.417,155.175
3,4.008,36.255
4,8.341,60.12
3,9.065,125.115
3,3.006,135.975
5,3.006,45.09
3,5.486,45.09
4,6.256,82.29
2,2.417,93.84
3,1.578,36.255
4,4.008,23.67
4,9.065,60.12
3,10.345,135.975
2,2.417,155.175
3,4.008,36.255
4,8.341,60.12
3,9.065,125.115
3,3.006,135.975
3,5.486,45.09
3,6.256,82.29
3,2.417,93.84
3,1.578,36.255
2,4.008,23.67
1,9.065,60.12
4,10.345,135.975
3,2.417,155.175
4,4.008,36.255
3,8.341,60.12
3,9.065,125.115
4,3.006,135.975
4,5.486,45.09
4,6.256,82.29
2,2.417,93.84
3,1.578,36.255
4,4.008,23.67
3,9.065,60.12
2,10.345,135.975
4,2.417,155.175
3,4.008,36.255
1,8.341,60.12
2,9.065,125.115
3,3.006,135.975
4,3.006,45.09
5,5.486,45.09
4,6.256,82.29
2,2.417,93.84
4,1.578,36.255
1,4.008,23.67
3,9.065,60.12
2,10.345,135.975
3,2.417,155.175
4,4.008,36.255
5,8.341,60.12
4,9.065,125.115
2,3.006,135.975
4,5.486,45.09
1,6.256,82.29
3,2.417,93.84
3,1.578,36.255
3,4.008,23.67
3,9.065,60.12
3,10.345,135.975
3,2.417,155.175
3,4.008,36.255
3,8.341,60.12
2,9.065,125.115
4,3.006,135.975
4,5.486,45.09
3,6.256,82.29
3,2.417,93.84
3,1.578,36.255
3,4.008,23.67
4,9.065,60.12
3,10.345,135.975
3,2.417,155.175
5,4.008,36.255
3,8.341,60.12
4,9.065,125.115
2,3.006,135.975
3,3.006,45.09
4,5.486,45.09
4,6.256,82.29
3,2.417,93.84
2,1.578,36.255
3,4.008,23.67
4,9.065,60.12
3,10.345,135.975
3,2.417,155.175
3,4.008,36.255
3,8.341,60.12
3,9.065,125.115
3,3.006,135.975
2,5.486,45.09
1,6.256,82.29
4,2.417,93.84
3,1.578,36.255
4,4.008,23.67
3,9.065,60.12
3,10.345,135.975
4,2.417,155.175
4,4.008,36.255
4,8.341,60.12
2,9.065,125.115
3,3.006,135.975
4,5.486,45.09
3,6.256,82.29
2,2.417,93.84
4,1.578,36.255
3,4.008,23.67
3,9.065,60.12
3,10.345,135.975
3,2.417,155.175
2,4.008,36.255
4,8.341,60.12
4,9.065,125.115
3,3.006,135.975
3,3.006,45.09
3,5.486,45.09
3,6.256,82.29
4,2.417,93.84
3,1.578,36.255
3,4.008,23.67
5,9.065,60.12
3,10.345,135.975
4,2.417,155.175
2,4.008,36.255
3,8.341,60.12
4,9.065,125.115
4,3.006,135.975
3,5.486,45.09
2,6.256,82.29
3,2.417,93.84
4,1.578,36.255
3,4.008,23.67
3,9.065,60.12
3,10.345,135.975
3,2.417,155.175
3,4.008,36.255
3,8.341,60.12
2,9.065,125.115
1,3.006,135.975
4,5.486,45.09
3,6.256,82.29
4,2.417,93.84
3,1.578,36.255
3,4.008,23.67
4,9.065,60.12
4,10.345,135.975
4,2.417,155.175
2,4.008,36.255
3,8.341,60.12
4,9.065,125.115
3,3.006,135.975
2,3.006,45.09
4,5.486,45.09
3,6.256,82.29
1,2.417,93.84
2,1.578,36.255
1,4.008,23.67
2,9.065,60.12
3,10.345,135.975
4,2.417,155.175
5,4.008,36.255
4,8.341,60.12
2,9.065,135.975
4,3.006,45.09
1,5.486,82.29
3,6.256,93.84
2,2.417,36.255
3,1.578,23.67
4,4.008,60.12
5,9.065,135.975
4,10.345,155.175
2,2.417,36.255
4,4.008,60.12
1,8.341,125.115
3,9.065,135.975
3,3.006,45.09
3,5.486,82.29
3,6.256,93.84
3,2.417,36.255
3,1.578,23.67
3,4.008,60.12
3,9.065,135.975
2,10.345,155.175
4,2.417,36.255
4,4.008,60.12
3,8.341,125.115
3,9.065,135.975
3,3.006,45.09
3,3.006,45.09
4,5.486,82.29
3,6.256,93.84
3,2.417,36.255
5,1.578,23.67
3,4.008,60.12
4,9.065,135.975
2,10.345,155.175
3,2.417,36.255
4,4.008,60.12
4,8.341,125.115
3,9.065,135.975
2,3.006,45.09
3,5.486,82.29
4,6.256,93.84
3,2.417,36.255
3,1.578,23.67
3,4.008,60.12
3,9.065,135.975
3,10.345,155.175
3,2.417,36.255
2,4.008,60.12
1,8.341,125.115
4,9.065,135.975
3,3.006,45.09
4,5.486,82.29
3,6.256,93.84
3,2.417,36.255
4,1.578,23.67
4,4.008,60.12
4,9.065,135.975
2,10.345,155.175
3,2.417,36.255
4,4.008,60.12
3,8.341,125.115
2,9.065,135.975
4,3.006,45.09
3,3.006,45.09
3,5.486,82.29
3,6.256,93.84
3,2.417,36.255
2,1.578,23.67
4,4.008,60.12
4,9.065,135.975
3,10.345,155.175
3,2.417,36.255
3,4.008,60.12
3,8.341,125.115
4,9.065,135.975
3,3.006,45.09
3,5.486,82.29
5,6.256,93.84
3,2.417,36.255
4,1.578,23.67
2,4.008,60.12
3,9.065,135.975
4,10.345,155.175
4,2.417,36.255
3,4.008,60.12
2,8.341,125.115
3,9.065,135.975
4,3.006,45.09
3,5.486,82.29
3,6.256,93.84
3,2.417,36.255
3,1.578,23.67
3,4.008,60.12
3,9.065,135.975
2,10.345,155.175
1,2.417,36.255
4,4.008,60.12
3,8.341,125.115
4,9.065,135.975
3,3.006,45.09
3,3.006,45.09
4,5.486,82.29
4,6.256,93.84
4,2.417,36.255
2,1.578,23.67
3,4.008,60.12
4,9.065,135.975
3,10.345,155.175
2,2.417,36.255
4,4.008,60.12
3,8.341,125.115
1,9.065,135.975
2,3.006,45.09
3,5.486,82.29
4,6.256,93.84
5,2.417,36.255
4,1.578,23.67
2,4.008,60.12
4,9.065,135.975
1,10.345,155.175
3,2.417,36.255
2,4.008,60.12
3,8.341,125.115
4,9.065,135.975
5,3.006,45.09
4,5.486,82.29
2,6.256,93.84
4,2.417,36.255
1,1.578,23.67
3,4.008,60.12
3,9.065,135.975
3,10.345,155.175
3,2.417,36.255
3,4.008,60.12
3,8.341,125.115
3,9.065,135.975
3,3.006,45.09
2,3.006,45.09
4,5.486,82.29
4,6.256,93.84
3,2.417,36.255
3,1.578,23.67
3,4.008,60.12
3,9.065,135.975
4,10.345,155.175
3,2.417,36.255
3,4.008,60.12
5,8.341,125.115
3,9.065,135.975
4,3.006,45.09
2,5.486,82.29
3,6.256,93.84
4,2.417,36.255
4,1.578,23.67
3,4.008,60.12
2,9.065,135.975
3,10.345,155.175
4,2.417,36.255
3,4.008,60.12
3,8.341,125.115
3,9.065,135.975
3,3.006,45.09
3,5.486,82.29
3,6.256,93.84
2,2.417,36.255
1,1.578,23.67
4,4.008,60.12
3,9.065,135.975
4,10.345,155.175
3,2.417,36.255
3,4.008,60.12
4,8.341,125.115
4,9.065,135.975
4,3.006,45.09
2,3.006,45.09
3,5.486,82.29
4,6.256,93.84
3,2.417,36.255
2,1.578,23.67
4,4.008,60.12
3,9.065,135.975
3,10.345,155.175
3,2.417,36.255
3,4.008,60.12
2,8.341,125.115
4,9.065,135.975
4,3.006,45.09
3,5.486,82.29
3,6.256,93.84
3,2.417,36.255
3,1.578,23.67
4,4.008,60.12
3,9.065,135.975
3,10.345,155.175
5,2.417,36.255
3,4.008,60.12
4,8.341,125.115
2,9.065,135.975
3,3.006,45.09
4,5.486,82.29
4,6.256,93.84
3,2.417,36.255
2,1.578,23.67
3,4.008,60.12
4,9.065,135.975
3,10.345,155.175
3,2.417,36.255
3,4.008,60.12
3,8.341,125.115
3,9.065,135.975
3,3.006,45.09
2,3.006,45.09
1,5.486,82.29
4,6.256,93.84
3,2.417,36.255
4,1.578,23.67
3,4.008,60.12
3,9.065,135.975
4,10.345,155.175
4,2.417,36.255
4,4.008,60.12
2,8.341,125.115
3,9.065,135.975
4,3.006,45.09
3,5.486,82.29
2,6.256,93.84
4,2.417,36.255
3,1.578,23.67
1,4.008,60.12
2,9.065,135.975
3,10.345,155.175
4,2.417,36.255
5,4.008,60.12
4,8.341,125.115
2,9.065,135.975
4,3.006,45.09
1,5.486,82.29
3,6.256,93.84
2,2.417,36.255
3,1.578,23.67
4,4.008,60.12
5,9.065,135.975
4,10.345,155.175
2,2.417,36.255
4,4.008,60.12
1,8.341,125.115
3,9.065,135.975
3,3.006,45.09
3,3.006,45.09
3,5.486,82.29
3,6.256,93.84
3,2.417,36.255
3,1.578,23.67
3,4.008,60.12
2,9.065,135.975
4,10.345,155.175
4,2.417,36.255
3,4.008,60.12
3,8.341,125.115
3,9.065,135.975
3,3.006,45.09
4,5.486,82.29
3,6.256,93.84
3,2.417,36.255
5,1.578,23.67
3,4.008,60.12
4,9.065,135.975
2,10.345,155.175
3,2.417,36.255
4,4.008,60.12
4,8.341,125.115
3,9.065,135.975
2,3.006,45.09
3,5.486,82.29
4,6.256,93.84
3,2.417,36.255
3,1.578,23.67
3,4.008,60.12
3,9.065,135.975
3,10.345,155.175
3,2.417,36.255
2,4.008,60.12
1,8.341,125.115
4,9.065,135.975
3,3.006,45.09
4,3.006,45.09
3,5.486,82.29
3,6.256,93.84
4,2.417,36.255
4,1.578,23.67
4,4.008,60.12
2,9.065,135.975
3,10.345,155.175
4,2.417,36.255
3,4.008,60.12
2,8.341,125.115
4,9.065,135.975
3,3.006,45.09
3,5.486,82.29
3,6.256,93.84
3,2.417,36.255
2,1.578,23.67
4,4.008,60.12
4,9.065,135.975
3,10.345,155.175
3,2.417,36.255
3,4.008,60.12
3,8.341,125.115
4,9.065,135.975
3,3.006,45.09
3,5.486,82.29
5,6.256,93.84
3,2.417,36.255
4,1.578,23.67
2,4.008,60.12
3,9.065,135.975
4,10.345,155.175
4,2.417,36.255
3,4.008,60.12
2,8.341,125.115
3,9.065,135.975
4,3.006,45.09
3,3.006,45.09
3,5.486,82.29
3,6.256,93.84
3,2.417,36.255
3,1.578,23.67
3,4.008,60.12
2,9.065,135.975
1,10.345,155.175
4,2.417,36.255
3,4.008,60.12
4,8.341,125.115
3,9.065,135.975
3,3.006,45.09
4,5.486,82.29
4,6.256,93.84
4,2.417,36.255
2,1.578,23.67
3,4.008,60.12
4,9.065,135.975
3,10.345,155.175
2,2.417,36.255
4,4.008,60.12
3,8.341,125.115
1,9.065,135.975
2,3.006,45.09
1,5.486,82.29
2,6.256,93.84
3,2.417,36.255
4,1.578,23.67
5,4.008,60.12
4,9.065,135.975
2,10.345,155.175
4,2.417,36.255
1,4.008,60.12
3,8.341,125.115
2,9.065,135.975
3,3.006,45.09
4,3.006,45.09
5,5.486,82.29
4,6.256,93.84
2,2.417,36.255
4,1.578,23.67
1,4.008,60.12
3,9.065,135.975
3,10.345,155.175
3,2.417,36.255
3,4.008,60.12
3,8.341,125.115
3,9.065,135.975
3,3.006,45.09
3,5.486,82.29
2,6.256,93.84
4,2.417,36.255
4,1.578,23.67
3,4.008,60.12
3,9.065,135.975
3,10.345,155.175
3,2.417,36.255
4,4.008,60.12
3,8.341,125.115
3,9.065,135.975
5,3.006,45.09
3,5.486,82.29
4,6.256,93.84
2,2.417,36.255
3,1.578,23.67
4,4.008,60.12
4,9.065,135.975
3,10.345,155.175
2,2.417,36.255
3,4.008,60.12
4,8.341,125.115
3,9.065,135.975
3,3.006,45.09
3,3.006,45.09
3,5.486,82.29
3,6.256,93.84
3,2.417,36.255
2,1.578,23.67
1,4.008,60.12
4,9.065,135.975
3,10.345,155.175
4,2.417,36.255
